"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-79.319","44.267","BALDWIN","6110480","ON","18.8","7","NA","30.0","7","5.5","7","0.0","7","NA","29.6","7","NA","0.0","4","","","NA","14.7","34.7"
"-79.736","44.385","BARRIE LANDFILL","6110556","ON","19.1","16","NA","30.0","12","8.0","11","0.0","12","NA","58.2","12","NA","","9","","","NA","3.2","19.0"
"-79.403","45.140","BEATRICE CLIMATE","6110607","ON","16.5","1","NA","27.9","1","4.4","1","","","NA","75.3","1","NA","","11","","","NA","53.6","7.4"
"-79.539","44.631","COLDWATER WARMINSTER","6111769","ON","19.2","0","NA","29.0","0","9.0","0","0.0","0","NA","117.4","0","NA","0.0","10","","","NA","11.3","47.3"
"-80.217","44.500","COLLINGWOOD","6111792","ON","19.6","0","NA","31.8","0","9.7","0","","","NA","","","NA","","","","","NA","7.3","56.7"
"-79.217","44.547","LAGOON CITY","6114295","ON","19.2","0","NA","28.4","0","10.0","0","","","NA","","","NA","","","","","NA","10.5","47.1"
"-80.712","44.269","MARKDALE","6114979","ON","17.9","2","NA","29.0","2","1.5","2","0.0","2","NA","91.4","2","NA","0.0","11","","","NA","29.5","27.9"
"-79.303","44.975","MUSKOKA","6115529","ON","17.5","0","NA","29.4","0","6.0","0","","","NA","84.4","0","NA","","11","","","NA","28.6","14.6"
"-79.439","44.603","ORILLIA BRAIN","6115811","ON","19.2","2","NA","29.5","2","10.0","2","0.0","2","NA","84.2","2","NA","0.0","7","","","NA","8.7","44.4"
"-80.044","45.344","PARRY SOUND CCG","6116257","ON","19.3","0","NA","28.3","0","10.2","0","","","NA","","","NA","","","","","NA","9.2","49.5"
"-79.633","44.399","SHANTY BAY","6117684","ON","19.3","0","0.1","29.5","0","8.5","0","0.0","0","NA","54.0","0","63.0","0.0","7","","","NA","11.3","52.8"
"-79.550","44.483","BARRIE-ORO","6117700","ON","17.7","0","NA","28.1","0","8.2","0","","","NA","","","NA","","","","","NA","26.3","16.3"
